IDProducto;Producto;Marca;IDEmpresa;Seccion;Categoria;Variedad;FigurasCalidad;HEART OF SPAIN
27862;LOMO DE BELLOTA IBERICO;EMBUTIDOS GONZALEZ PERRINO;32040;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
25068;LOMO DE BELLOTA 100% IBERICO;EMJAMESA IBERICOS;1294;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
25069;PALETA DE BELLOTA 100% IBERICA;EMJAMESA IBERICOS;1294;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
25072;PALETA DE BELLOTA IBERICA;EMJAMESA IBERICOS;1294;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
25073;JAMON DE BELLOTA IBERICO;EMJAMESA IBERICOS;1294;CHARCUTERIA;CURADOS;JAMON IBERICO;NORMA DE CALIDAD DEL IBERICO;
25077;LOMO DE CEBO DE CAMPO IBERICO;EMJAMESA IBERICOS;1294;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
25080;JAMON DE CEBO IBERICO;EMJAMESA IBERICOS;1294;CHARCUTERIA;CURADOS;JAMON IBERICO;NORMA DE CALIDAD DEL IBERICO;
46228;PALETA DE CEBO DE CAMPO IBERICA;MEDINA Y SANCHEZ UNA FAMILIA;1294;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
46230;CAÑA DE LOMO DE CEBO DE CAMPO IBERICO;MEDINA Y SANCHEZ UNA FAMILIA;1294;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
46232;JAMON DE CEBO IBERICO;MEDINA Y SANCHEZ UNA FAMILIA;1294;CHARCUTERIA;CURADOS;JAMON IBERICO;NORMA DE CALIDAD DEL IBERICO;
13842;CARNE DE CERDO IBERICO;BEHER;354;CARNES;PORCINO;CERDO IBERICO;NORMA DE CALIDAD DEL IBERICO;
18955;LOMO DE BELLOTA IBERICO;LOS CHANETES;354;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
18956;LOMO DE BELLOTA 100% IBERICO;LOS CHANETES;354;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
18957;LOMO DE CEBO DE CAMPO 100% IBERICO;LOS CHANETES;354;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
18960;JAMON DE CEBO DE CAMPO 100% IBERICO;LOS CHANETES;354;CHARCUTERIA;CURADOS;JAMON IBERICO;NORMA DE CALIDAD DEL IBERICO;
18963;PALETA DE CEBO DE CAMPO 100% IBERICA;LOS CHANETES;354;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
18567;MERMELADA DE PIMIENTO;VEGAESLA DE HORTOESLA;1803;CONSERVAS;MERMELADAS Y CONFITURAS;MERMELADAS VEGETALES;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
18568;MERMELADA DE TOMATE;VEGAESLA DE HORTOESLA;1803;CONSERVAS;MERMELADAS Y CONFITURAS;MERMELADAS VEGETALES;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
32751;LOMO DE CEBO 100% IBERICO;JOSE PUERTO;38455;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
32752;LOMO DE BELLOTA 100% IBERICO;JOSE PUERTO;38455;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
32754;PALETA DE CEBO IBERICA;JOSE PUERTO;38455;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
32757;JAMON DE BELLOTA 100% IBERICO;JOSE PUERTO;38455;CHARCUTERIA;CURADOS;JAMON IBERICO;NORMA DE CALIDAD DEL IBERICO;
32783;LOMO DE CEBO DE CAMPO IBERICO;JOSE PUERTO;38455;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
32789;JAMON DE CEBO IBERICO;JOSE PUERTO;38455;CHARCUTERIA;CURADOS;JAMON IBERICO;NORMA DE CALIDAD DEL IBERICO;
32791;PALETA DE BELLOTA IBERICA;JOSE PUERTO;38455;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
31724;PALETA DE BELLOTA IBERICA;C CAYO;859;CHARCUTERIA;CURADOS;PALETA IBERICA;"D.O.P. JAMON DE GUIJUELO; NORMA DE CALIDAD DEL IBERICO";
31726;JAMON DE BELLOTA 100% IBERICO;C CAYO;859;CHARCUTERIA;CURADOS;JAMON IBERICO;"D.O.P. JAMON DE GUIJUELO; NORMA DE CALIDAD DEL IBERICO";
31728;LOMO DE BELLOTA IBERICO;C CAYO;859;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
31729;JAMON DE CEBO IBERICO;C CAYO;859;CHARCUTERIA;CURADOS;JAMON IBERICO;NORMA DE CALIDAD DEL IBERICO;
31731;LOMO DE CEBO IBERICO;C CAYO;859;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
31732;JAMON CEBO DE CAMPO IBERICO;C CAYO;859;CHARCUTERIA;CURADOS;JAMON IBERICO;NORMA DE CALIDAD DEL IBERICO;
31733;PALETA DE CEBO DE CAMPO IBERICA;C CAYO;859;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
5041;CECINA DE EQUINO ADOBADA;CECINAS Y EMBUTIDOS HCR HNOS. CABALLERO ROJO;1768;CHARCUTERIA;CURADOS;CECINA;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
19809;CHORIZO DE CIERVO, EQUINO Y CERDO IBERICO;CECINAS Y EMBUTIDOS HCR HNOS. CABALLERO ROJO;1768;CHARCUTERIA;EMBUTIDOS;OTRA VARIEDAD;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
19810;CHORIZO DE JABALI, EQUINO Y CERDO IBERICO;CECINAS Y EMBUTIDOS HCR HNOS. CABALLERO ROJO;1768;CHARCUTERIA;EMBUTIDOS;OTRA VARIEDAD;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
28656;CHORIZO DE EQUINO;CECINAS Y EMBUTIDOS HCR HNOS. CABALLERO ROJO;1768;CHARCUTERIA;EMBUTIDOS;CHORIZO;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
8180;PURE DE PATATA;SANTA TERESA;3276;ALIMENTACION GENERAL;SOPAS, CALDOS, CREMAS Y PURES;PURE;PLIEGO DE CONDICIONES DE PRODUCTO;
17990;PASTAS DE MEMBRILLO;SANTA TERESA;3276;PANADERIA Y REPOSTERIA;BOLLERIA Y PASTELERIA;PASTAS;PLIEGO DE CONDICIONES DE PRODUCTO;
46003;YEMA DE CANELA;SANTA TERESA;3276;PANADERIA Y REPOSTERIA;BOLLERIA Y PASTELERIA;PASTELES;PLIEGO DE CONDICIONES DE PRODUCTO;
17335;PALETA DE CEBO IBERICA;EMBUTIDOS ANTONIO Y CLARA (ANCLA);248;CHARCUTERIA;CURADOS;PALETA IBERICA;"D.O.P. JAMON DE GUIJUELO; NORMA DE CALIDAD DEL IBERICO";
17337;PALETA DE BELLOTA IBERICA;EMBUTIDOS ANTONIO Y CLARA (ANCLA);248;CHARCUTERIA;CURADOS;PALETA IBERICA;"D.O.P. JAMON DE GUIJUELO; NORMA DE CALIDAD DEL IBERICO";
17338;PALETA DE BELLOTA 100% IBERICA;EMBUTIDOS ANTONIO Y CLARA (ANCLA);248;CHARCUTERIA;CURADOS;PALETA IBERICA;"D.O.P. JAMON DE GUIJUELO; NORMA DE CALIDAD DEL IBERICO";
17344;JAMON DE BELLOTA IBERICO;EMBUTIDOS ANTONIO MARTIN MARTIN;248;CHARCUTERIA;CURADOS;JAMON IBERICO;"D.O.P. JAMON DE GUIJUELO; NORMA DE CALIDAD DEL IBERICO";
19710;JAMON DE CEBO DE CAMPO IBERICO;EMBUTIDOS ANTONIO Y CLARA (ANCLA);248;CHARCUTERIA;CURADOS;JAMON IBERICO;"D.O.P. JAMON DE GUIJUELO; NORMA DE CALIDAD DEL IBERICO";
19718;LOMO DE CEBO IBERICO;EMBUTIDOS ANTONIO Y CLARA (ANCLA);248;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
